source	stage	diagnostic
apple16/Music/Songs/Midi.synth/Indiana.jones/Indy.seq.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Hymns1Seq/HYMNS1SEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Haydn.sonata7/HAYDNSEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Hotel.california/HOTELCSEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Hymns3Seq/HYMNS3SEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Hymns2Seq/HYMNS2SEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Jeux.interdits/JEUINTRDSEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Mods/Att.mod/AT.T.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Mods/Fishhead/MOD.FISHEAD.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Mods/Nightmares/NIGHT.shk	archive	ShrinkIt extraction failed
apple16/Shell/Applics/Beatbox/beatbox.shk	archive	ShrinkIt extraction failed
apple16/Comm/Utils/pmpunzip.shk	archive	ShrinkIt extraction failed
apple16/Comm/Old.files/Macbin/macbin102.shk	archive	ShrinkIt extraction failed
apple16/Utils/INNERDRIVE.SHK	archive	ShrinkIt extraction failed
apple16/Languages/gscheme.shk	archive	ShrinkIt extraction failed
apple16/Sounds/Applics/soundit10.shk	archive	ShrinkIt extraction failed
apple16/Sounds/Applics/rSounder3.SHK	archive	ShrinkIt extraction failed
apple16/System/Ndas/superinfo2.shk	archive	ShrinkIt extraction failed
apple16/System/Drivers/INNERDRIVE.SHK	archive	ShrinkIt extraction failed
apple16/System/Ace.SHK	archive	ShrinkIt extraction failed
apple16/System/Old.files/P8KeyChange.SHK	archive	ShrinkIt extraction failed
apple16/System/Cdas/fta.zip	archive	archive extraction failed
apple16/System/Cdevs/kdw1.0.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/jpeGSv11.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/gif3200.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/doodler1.01.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/Old.files/Doodler/doodler.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/iffconv.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Applics/iq.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Pics.3200/Pics.w/Pics.W.SHK	archive	ShrinkIt extraction failed
apple16/Graphics/Pics/tt-samples-2.shk	archive	ShrinkIt extraction failed
apple16/Graphics/Pics/tt-samples-1.shk	archive	ShrinkIt extraction failed
apple16/Games/Misc.cco/GATE.DEMO.SHK	archive	ShrinkIt extraction failed
apple16/Games/Misc.cco/ACS.DEMO.SHK	archive	ShrinkIt extraction failed
apple16/Games/Misc.cco/Hirilonde195.SHK	archive	ShrinkIt extraction failed
apple16/Games/mahjongggs.shk	archive	ShrinkIt extraction failed
apple16/Games/hirilonde.shk	archive	ShrinkIt extraction failed
apple16/Games/ecomaniacsOK.shk	archive	ShrinkIt extraction failed
apple16/Games/Hirilonde195.SHK	archive	ShrinkIt extraction failed
apple16/Games/Demos/Sword.of.Sodan.3level.demo.shk	archive	ShrinkIt extraction failed
apple16/demos/binaries/ipgkf93demo.shk	archive	ShrinkIt extraction failed
apple16/Hypermedia/Hyperstudio/Old.files/F1.91/F1.91.Demo.Repost/F1.91.Demo1.SHK	archive	ShrinkIt extraction failed
apple16/Hypermedia/Hyperstudio/hs.tutor.shk	archive	ShrinkIt extraction failed
apple16/Hypermedia/Hypercard/StarTrek2.1c/STTNG21c.SHK	archive	ShrinkIt extraction failed
apple16/Hypermedia/Hypercard/Xcmdmaker.v12/xcmdmak1.2.shk	archive	ShrinkIt extraction failed
Fonts/Truetype/Rothman.shk	archive	ShrinkIt extraction failed
Collections/Core.v1n1/Core_v1_n1.zip	archive	archive extraction failed
Collections/AOL/Hardware.Libraries/PRODUCTS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Hardware.Libraries/HP.EXP.01.shk	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/WINDOW.ASM.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/PASSWD101.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/LIBRARY.2.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/WIN.MENU.MB.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/IMPORTREZ.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/COFF.BIN.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/RESLIN.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/ARCADEKINGD.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/ARCADEKINGS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/MENU.ASM.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/MICOL.BASIC.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/NEWS12.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/DIRTOOLS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/ALS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/SHUTDOWN.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/ARCADE.DHRG.SHK	archive	ShrinkIt extraction failed
Collections/AOL/development/applications/TASKMASKCDA.SHK	archive	ShrinkIt extraction failed
Collections/AOL/AppleII.Hall.of.Fame/GAMES/elavators.shk	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/SEC.CHANCE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/SHR.PIC.SAVER.CDA.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/SPECTRUM.GS.NDA.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/II.GIF.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/SHRVIEWBAS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/PURGE.SYS16.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/SHR.load.save.show.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/PWGOLD.FIX.NDA.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/EXCELLENT.CLIP.ART/IIGS.320.mode/XMAS.CLIPS1.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/EXCELLENT.CLIP.ART/GENERAL.APPLE.II.CLIP.ART/TT.Clips.DHR.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/EXCELLENT.CLIP.ART/IIGS.640.mode/TRIAD.TITLE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/EXCELLENT.CLIP.ART/IIGS.640.mode/FLAG.CLIPART.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Arts.Graphics/EXCELLENT.CLIP.ART/IIGS.640.mode/DADDAY.CLIPART.SHK	archive	ShrinkIt extraction failed
