"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/educational/Flight 2 - Sequence - Earth-X.dsk","ab2406c3e6ebe5935ed1ce28023c4cfc6a7ace045aa0af837611736b1dd0446f","R200","SYSTEM.APPLE","581a5c924979aed84c65add4a4400d11e312f6b7327b23d7358d497e8b687176","3189798e4f598903441f35941277fa9d412ea0cba298e662923f8e2e50003f29","7f33041886cd63bf6acd5822ac2690d9f652ad742e51d014471e26d102ce4771","660b8947654a522a41aaa920ac430fdff7cdfad2fabf22fa455cf2941ffa9ee4","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/ab2406c3e6ebe5935ed1ce28023c4cfc6a7ace045aa0af837611736b1dd0446f"
"images/educational/The Music Class (4am crack) disk 2.dsk","1b861be7a187710b40f49a2df4331393a87e77637aa8a221eab22627330c1090","WENGER2","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8820204c1533f471678ebc2c77d44995d6150e829bb4ccbba84d8af5e975f616","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/1b861be7a187710b40f49a2df4331393a87e77637aa8a221eab22627330c1090"
"images/educational/Learning to Read - Letters, Words, and Sentences volume 2 (4am crack) disk 2.dsk","9c65ea361b6a6f5d59e95d42cbe4f3b85c250153325398ca1ab08bada3144a36","MICRO.T","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","3bfae9103008481c2e35f780c289473e9bc20b78ec47e021acccf55d68ec15c5","b5f8f8b083af88142a51ae24b33a8d498cfa974eb66fff6bb3c495ce349456b5","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/9c65ea361b6a6f5d59e95d42cbe4f3b85c250153325398ca1ab08bada3144a36"
"images/educational/Addition (Prescription Learning) (4am crack) disk 5.dsk","c378ba0aed4b07563badc216a151aeb88bd560455818aa7dad3de1b1731d0174","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/c378ba0aed4b07563badc216a151aeb88bd560455818aa7dad3de1b1731d0174"
"images/educational/Comprehension (Prescription Learning) (4am crack) disk 6.dsk","ad45e0b1ce38e6ded9f693f5923bb42632dd9cc5d7a2085cd76401e387b96823","BLANK","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","1e5b7ec8369f6abe0d13a1b64e376e26f1cc94647f159f04bf9a85937bfcba4d","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/ad45e0b1ce38e6ded9f693f5923bb42632dd9cc5d7a2085cd76401e387b96823"
"images/educational/Turtle Tracks.dsk","fd0028623d186ec0b4ea965110bb21c7ef6bde996e97d27a4e6b0d17ca1515c6","T","RTSTRP.APPLE","baa59b7e69fb416ee09caf94820fbb392673155a34b70a17a22302e6ed20cd84","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","b65fa95df3d85b2729a16a2e3570a7c606f35aec3961b5383ee77da69d472c9e","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/fd0028623d186ec0b4ea965110bb21c7ef6bde996e97d27a4e6b0d17ca1515c6"
"images/educational/The Music Class - Symbols (4am crack) disk 1.dsk","949f694d0de5de3c4417a08cb09f7882a3e3411b0d5b742c7951963b04f5e88d","WENGER4","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8820204c1533f471678ebc2c77d44995d6150e829bb4ccbba84d8af5e975f616","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/949f694d0de5de3c4417a08cb09f7882a3e3411b0d5b742c7951963b04f5e88d"
"images/educational/Comprehension (Prescription Learning) (4am crack) disk 7.dsk","379dbbc14f951ed4778b7090d000d49b742e0dfc21d8e87b95969ce312fc7e36","BLANK","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","1e5b7ec8369f6abe0d13a1b64e376e26f1cc94647f159f04bf9a85937bfcba4d","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/379dbbc14f951ed4778b7090d000d49b742e0dfc21d8e87b95969ce312fc7e36"
"images/educational/Addition (Prescription Learning) (4am crack) disk 4.dsk","71338295c0f4eacb70143c6e14dacede3e9aed6e6744f3a4f6fda557f56a8fd4","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/71338295c0f4eacb70143c6e14dacede3e9aed6e6744f3a4f6fda557f56a8fd4"
"images/educational/Alaska (4am crack) disk 5 - First People - Alaska's Natives part four.dsk","eabd8c88d95355d284caf8d6e45331f57ba3e751e85b2c3eb55b9f4b782dba83","LESSONS","RT0006.APPLE","94eb6d37113cf3b9a8e2fa93aadafa08bac16fdcc578138fd9ace5848fd45a73","6dc9c38c6d99a5ea509b6d977b9729648e17bebf810eb9ef79bee1fcc07e7d01","6e03d304fe44a9492d92bf1fced61bde6f000f10a851f9a9d06dde11048de69c","72cd81575a7dfd00093d4636232f662ac486851600c5ffc0b029de7a0d613b06","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/eabd8c88d95355d284caf8d6e45331f57ba3e751e85b2c3eb55b9f4b782dba83"
